mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.04316504796346029,0.003504934545896949,0.0019225279490152996,7.436120518254102e-05,0.8,5.0,1.0,200,6,0.03,0.6,"{'subsample': 0.8, 'reg_lambda': 5.0, 'reg_alpha': 1.0, 'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.03, 'colsample_bytree': 0.6}",-0.013690476407784799,-0.006984127037936716,-0.009523809523809532,-0.010066137656510349,0.0027645819841047112,2,-0.007986111310310684,-0.008790123508208344,-0.006060606060606066,-0.007612280293041698,0.0011452448344627993
0.10643259684244792,0.014955590345000085,0.0026634534200032554,0.0006672811536782481,0.9,0.5,1.0,500,2,0.1,1.0,"{'subsample': 0.9, 'reg_lambda': 0.5, 'reg_alpha': 1.0, 'n_estimators': 500, 'max_depth': 2, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",-0.013690476407784799,-0.006984127037936716,-0.009523809523809532,-0.010066137656510349,0.0027645819841047112,2,-0.007986111310310684,-0.008790123508208344,-0.006060606060606066,-0.007612280293041698,0.0011452448344627993
0.12343541781107585,0.01765352753450093,0.002471923828125,0.00027286003835150463,1.0,2.0,0.5,700,2,0.03,0.6,"{'subsample': 1.0, 'reg_lambda': 2.0, 'reg_alpha': 0.5, 'n_estimators': 700, 'max_depth': 2, 'learning_rate': 0.03, 'colsample_bytree': 0.6}",-0.013690476407784799,-0.006984127037936716,-0.009523809523809532,-0.010066137656510349,0.0027645819841047112,2,-0.007986111310310684,-0.008790123508208344,-0.006060606060606066,-0.007612280293041698,0.0011452448344627993
0.11687326431274414,0.014236141900578076,0.002348661422729492,0.0001540771958731313,1.0,0.5,1.0,700,5,0.01,0.6,"{'subsample': 1.0, 'reg_lambda': 0.5, 'reg_alpha': 1.0, 'n_estimators': 700, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",-0.013690476407784799,-0.006984127037936716,-0.009523809523809532,-0.010066137656510349,0.0027645819841047112,2,-0.007986111310310684,-0.008790123508208344,-0.006060606060606066,-0.007612280293041698,0.0011452448344627993
0.1436600685119629,0.019049358489110393,0.002180814743041992,4.259938026925989e-05,0.7,2.0,1.0,700,2,0.03,1.0,"{'subsample': 0.7, 'reg_lambda': 2.0, 'reg_alpha': 1.0, 'n_estimators': 700, 'max_depth': 2, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",-0.013690476407784799,-0.006984127037936716,-0.009523809523809532,-0.010066137656510349,0.0027645819841047112,2,-0.007986111310310684,-0.008790123508208344,-0.006060606060606066,-0.007612280293041698,0.0011452448344627993
0.1415525277455648,0.03822398999420847,0.002184708913167318,0.00013046011548936535,0.9,0.5,0.0,500,2,0.05,0.8,"{'subsample': 0.9, 'reg_lambda': 0.5, 'reg_alpha': 0.0, 'n_estimators': 500, 'max_depth': 2, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",-0.04131160588003696,-0.01875653805358783,-0.014175534899169144,-0.024747892944264646,0.011860686802463615,67,-0.00017694838059774862,-0.0003192776857718608,-0.0003548444594233703,-0.0002836901752643266,7.686181060177999e-05
0.021402994791666668,0.0009714140883071806,0.002626180648803711,0.001038827861492105,0.7,1.0,0.5,100,3,0.05,0.6,"{'subsample': 0.7, 'reg_lambda': 1.0, 'reg_alpha': 0.5, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",-0.013690476407784799,-0.006984127037936716,-0.009523809523809532,-0.010066137656510349,0.0027645819841047112,2,-0.007986111310310684,-0.008790123508208344,-0.006060606060606066,-0.007612280293041698,0.0011452448344627993
0.020055294036865234,0.002327378920568634,0.0020055770874023438,0.00038403843261386504,0.9,0.5,1.0,100,4,0.05,0.6,"{'subsample': 0.9, 'reg_lambda': 0.5, 'reg_alpha': 1.0, 'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",-0.013690476407784799,-0.006984127037936716,-0.009523809523809532,-0.010066137656510349,0.0027645819841047112,2,-0.007986111310310684,-0.008790123508208344,-0.006060606060606066,-0.007612280293041698,0.0011452448344627993
0.24446511268615723,0.0696266195810788,0.0025527477264404297,0.0007412981018430121,0.9,1.0,0.0,500,4,0.01,0.8,"{'subsample': 0.9, 'reg_lambda': 1.0, 'reg_alpha': 0.0, 'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",-0.03992700938445827,-0.019620338411364374,-0.014412136409416807,-0.024653161401746487,0.01100754790049429,66,-0.000633924849698079,-0.001047869303325181,-0.000951933519051338,-0.000877909224024866,0.00017691278428043694
0.0396124521891276,0.005131367365401084,0.0017743905385335286,3.151056294195454e-05,0.9,1.0,0.5,200,2,0.2,0.8,"{'subsample': 0.9, 'reg_lambda': 1.0, 'reg_alpha': 0.5, 'n_estimators': 200, 'max_depth': 2, 'learning_rate': 0.2, 'colsample_bytree': 0.8}",-0.013690476407784799,-0.006984127037936716,-0.009523809523809532,-0.010066137656510349,0.0027645819841047112,2,-0.007986111310310684,-0.008790123508208344,-0.006060606060606066,-0.007612280293041698,0.0011452448344627993
