Date,Price,Open,High,Low,Vol.,Change %
9/1/2004,4.5991,4.5978,4.5991,4.5978,,-1.23%
8/1/2004,4.6564,4.6541,4.6564,4.6541,,-0.65%
7/1/2004,4.6867,4.6841,4.6867,4.6841,,0.31%
6/1/2004,4.6724,4.6691,4.6724,4.6691,,-1.03%
5/1/2004,4.7212,4.7187,4.7212,4.7187,,-0.89%
4/1/2004,4.7635,4.7618,4.7635,4.7618,,-2.23%
3/1/2004,4.8722,4.8696,4.8722,4.8696,,-0.02%
2/1/2004,4.8733,4.871,4.8733,4.871,,-0.37%
1/1/2004,4.8912,4.8885,4.8912,4.8885,,-0.17%
12/1/2003,4.8994,4.8954,4.8994,4.8954,,-0.63%
11/1/2003,4.9305,4.9285,4.9305,4.9285,,-0.23%
10/1/2003,4.9417,4.9388,4.9417,4.9388,,1.54%
9/1/2003,4.8668,4.8651,4.8668,4.8651,,0.68%
8/1/2003,4.8337,4.8303,4.8337,4.8303,,-0.32%
7/1/2003,4.8493,4.8469,4.8493,4.8469,,-0.24%
6/1/2003,4.8611,4.8595,4.8611,4.8595,,-0.81%
5/1/2003,4.9007,4.8992,4.9007,4.8992,,0.45%
4/1/2003,4.8786,4.8768,4.8786,4.8768,,0.77%
3/1/2003,4.8412,4.8367,4.8412,4.8367,,0.84%
2/1/2003,4.8011,4.7973,4.8011,4.7973,,-1.31%
1/1/2003,4.865,4.8613,4.865,4.8613,,-0.27%
12/1/2002,4.878,4.8733,4.878,4.8733,,0.23%
11/1/2002,4.8666,4.8642,4.8666,4.8642,,0.18%
10/1/2002,4.858,4.8568,4.858,4.8568,,-0.37%
9/1/2002,4.8758,4.8734,4.8758,4.8734,,-0.27%
8/1/2002,4.8889,4.8873,4.8889,4.8873,,-0.06%
7/1/2002,4.8917,4.8893,4.8917,4.8893,,0.60%
6/1/2002,4.8624,4.8609,4.8624,4.8609,,-0.54%
5/1/2002,4.8887,4.8863,4.8887,4.8863,,-0.17%
4/1/2002,4.8968,4.8952,4.8968,4.8952,,0.26%
3/1/2002,4.8843,4.8819,4.8843,4.8819,,-0.62%
2/1/2002,4.9146,4.9122,4.9146,4.9122,,-0.71%
